Specialist,DIAGNOSIS_CODE,ACTIVITY_CODE,ACTIVITY_COUNT_TOTAL,DIAGNOSIS_CODE_COUNT,ACTIVITY_COUNT_AVG,ACTIVITY_COUNT_STDEV,CareProfile_class_code
CAR,201,120245,22,5151,0.004271016,0.004252774,7
CAR,201,190011,187,5151,0.03630363,0.03498568,1
CAR,201,190012,37,5151,0.007183071,0.007131475,1
CAR,201,190013,210,5151,0.04076878,0.03910669,1
CAR,201,190014,9,5151,0.001747234,0.001744181,99
CAR,201,190015,111,5151,0.02154921,0.02108485,89
CAR,201,190021,48,5151,0.009318579,0.009231743,99
CAR,201,190035,47,5151,0.009124442,0.009041186,2
CAR,201,190204,56,5151,0.01087168,0.01075348,3
CAR,202,033229,26,2243,0.01159162,0.01145725,4
CAR,202,033231,13,2243,0.005795809,0.005762218,6
CAR,202,033232,5,2243,0.002229157,0.002224188,6
CAR,202,033233,9,2243,0.004012483,0.003996383,6
CAR,202,033236,10,2243,0.004458315,0.004438438,4
CAR,202,033266,1,2243,0.0004458315,0.0004456327,6
CAR,202,033285,1,2243,0.0004458315,0.0004456327,6
CAR,202,033694,36,2243,0.01604993,0.01579233,4
CAR,202,034620,1,2243,0.0004458315,0.0004456327,4
CAR,202,039494,36,2243,0.01604993,0.01579233,7
CAR,202,039496,6,2243,0.002674989,0.002667833,4
CAR,202,039497,2,2243,0.000891663,0.0008908679,4
CAR,202,039679,1,2243,0.0004458315,0.0004456327,4
CAR,202,039680,59,2243,0.02630406,0.02561215,6
CAR,202,039755,7,2243,0.00312082,0.003111081,6
CAR,202,039756,3,2243,0.001337494,0.001335706,4
CAR,202,039757,265,2243,0.1181453,0.104187,4
CAR,202,039839,5,2243,0.002229157,0.002224188,4
CAR,202,039843,1,2243,0.0004458315,0.0004456327,4
CAR,202,039844,48,2243,0.02139991,0.02094195,4
CAR,202,039846,2,2243,0.000891663,0.0008908679,4
CAR,202,039848,1,2243,0.0004458315,0.0004456327,6
CAR,202,039932,1,2243,0.0004458315,0.0004456327,4
CAR,202,070100,10,2243,0.004458315,0.004438438,8
CAR,202,070116,57,2243,0.02541239,0.0247666,8
CAR,202,070119,5,2243,0.002229157,0.002224188,8
CAR,202,070130,1,2243,0.0004458315,0.0004456327,8
CAR,202,070303,10,2243,0.004458315,0.004438438,8
CAR,202,070307,5,2243,0.002229157,0.002224188,8
CAR,202,070402,52,2243,0.02318324,0.02264577,8
CAR,202,070419,67,2243,0.02987071,0.02897845,8
CAR,202,070421,2,2243,0.000891663,0.0008908679,8
CAR,202,070425,48,2243,0.02139991,0.02094195,8
CAR,202,070426,7,2243,0.00312082,0.003111081,8
CAR,202,070440,2,2243,0.000891663,0.0008908679,8
CAR,202,070442,66,2243,0.02942488,0.02855905,8
CAR,202,070443,66,2243,0.02942488,0.02855905,8
CAR,202,070460,30,2243,0.01337494,0.01319605,8
CAR,202,070469,2,2243,0.000891663,0.0008908679,8
CAR,202,070489,62,2243,0.02764155,0.0268775,8
CAR,202,070604,14,2243,0.006241641,0.006202682,8
CAR,202,070611,14,2243,0.006241641,0.006202682,8
CAR,202,070689,24,2243,0.01069996,0.01058547,8
CAR,202,070702,65,2243,0.02897905,0.02813926,8
CAR,202,070703,12,2243,0.005349978,0.005321356,8
CAR,202,070715,50,2243,0.02229157,0.02179466,8
CAR,202,070718,4,2243,0.001783326,0.001780146,8
CAR,202,070820,1,2243,0.0004458315,0.0004456327,8
CAR,202,071105,1,2243,0.0004458315,0.0004456327,9
CAR,202,071118,1,2243,0.0004458315,0.0004456327,9
CAR,202,072106,10,2243,0.004458315,0.004438438,8
CAR,202,072410,1,2243,0.0004458315,0.0004456327,8
CAR,202,072414,3,2243,0.001337494,0.001335706,8
CAR,202,072417,30,2243,0.01337494,0.01319605,8
CAR,202,072570,5,2243,0.002229157,0.002224188,8
CAR,202,072573,15,2243,0.006687472,0.00664275,8
CAR,202,072582,2,2243,0.000891663,0.0008908679,8
CAR,202,072583,2,2243,0.000891663,0.0008908679,8
CAR,202,072621,2,2243,0.000891663,0.0008908679,8
CAR,202,072649,1,2243,0.0004458315,0.0004456327,8
CAR,202,072820,2,2243,0.000891663,0.0008908679,11
CAR,202,074065,2,2243,0.000891663,0.0008908679,8
CAR,202,074110,10,2243,0.004458315,0.004438438,8
CAR,202,074251,45,2243,0.02006242,0.01965992,8
CAR,202,074802,7,2243,0.00312082,0.003111081,8
CAR,202,074891,65,2243,0.02897905,0.02813926,8
CAR,202,074892,60,2243,0.02674989,0.02603433,8
CAR,202,074895,61,2243,0.02719572,0.02645611,8
CAR,202,074896,29,2243,0.01292911,0.01276195,8
CAR,202,074897,12,2243,0.005349978,0.005321356,8
CAR,202,074899,45,2243,0.02006242,0.01965992,8
CAR,202,075044,1,2243,0.0004458315,0.0004456327,9
CAR,202,076871,1,2243,0.0004458315,0.0004456327,8
CAR,202,077121,47,2243,0.02095408,0.02051501,8
CAR,202,084602,1,2243,0.0004458315,0.0004456327,7
CAR,202,085000,46,2243,0.02050825,0.02008766,7
CAR,202,085002,30,2243,0.01337494,0.01319605,7
CAR,202,085140,6,2243,0.002674989,0.002667833,7
